source,target
VirguezEli20,MOinternationa
cesaro11,SoyAndresParra
Rocadura,ClaraLopezObre
cabralesatrid,MOinternationa
milciadesagui,angelamrobledo
Amazonwarrior07,juanposada75
MadiBeau,MartinSantosR
F_PS86,Marion1871
CocuyOcampo,EmirLopez81
JUANKMOR,ThaniaVegaCD
ACarolinapsuv,CamilaCorredor4
SergioRengifo4,DePacotilla
almaganesh,Team_AntiRojos
luisyepesb,EugenioPrieto
jaimehsilva,Sadi_CF
ACarolinapsuv,AEscobarVanegas
maxdt,fernapiensa
YerlyMozo,EseMacias
cobra8350,AlejoSalazarP
_Kiraxz,JairoSoto
castul56,ClaraLopezObre
jaJapachon,GustavoBolivar
SergioRengifo4,EddyIU
Liberacion_LP,hincapiesimon
MantillaQ,JorgeFlorezSi
queenspicz,MerasNalgas
mfp81,luisafcano
diegodiaz861,GaboNachoB
AndresR00759,ghitis
vallenatonato,UP_Colombia
MadiBeau,garciacpaula
levantateCagonq,cesarfloreza
Pielco11,CarolinaUrrego
Josesalazarve,GabrielaGechem
elpi_rata,subcantante
AngePejelagarto,TrinoYQue
ruder93,RedPazJoven
CampusPAZ,Siudadanos_Paz
colombianotas,mauriciohenao
MadiBeau,MartinSantosR
SienteLaPaz,lopezjosedaniel
Brandt_Jimmy_,Schonen_Blauen
Ander_socialist,MantillaQ
_inconclusa,JuanDiegoSoyYo
peanlomu,HOLLMANMORRIS
TataMendoza,JuanDiegoSoyYo
ArangoFlo,josiasfiesco
SienteLaPaz,SienteLaPaz
jamesmolina90,jamesmolina90
AngePejelagarto,rodri22072
mercurio6520,SCarrascalP
MadiBeau,CarlosCarrilloA
PatriciaMontoy6,ThaniaVegaCD
ArangoFlo,JoseFdoSanin
avilez05_avilez,ghitis
FACristancho,vivianagarcian
PerfoscOspina,JoseDavidName
SenorCaicedo,ClaraLopezObre
puerta_noel,ThaniaVegaCD
MadiBeau,amariaochoa
jkarlosrp,SalcedoRamos
RCarlosVar,ThaniaVegaCD
EstebanCarlosM,conrado_uribe
mesadhaburrasur,EugenioPrieto
MadiBeau,JuanOspinaV
jaln1984,AngelitaRoblesS
valeorozu,GustavoBolivar
MRMagdalenaMed,MargaritaRepo
camilosd,piedadcordoba
peanlomu,ALEJOMICHELLS
MadiBeau,IanSchnaida
vhpiedra,EugenioPrieto
llfewithlp,AramBarra
alberto95302143,danielosorio91
d_mejiag,SIMUNOZV
ngtovar,JuanDiegoSoyYo
j10mejia,_JorgeMunoz
nicolasgranado,Juan_alarcon8
vendobodegas,ThaniaVegaCD
avilez05_avilez,nohoratovar
2010Compudavid,MarcoHxC
c_luisv,ClaraLopezObre
AnaCGuatame,mujertejedora
dvalentinarn_,TaconTorcido
MadiBeau,jnn59
SergioRengifo4,angelamrobledo
AlberGuillermo,fjaviermejia
luchoalejotr,HoracioJSerpa
Michellepaola51,Escritoor
daisyagudelo,EugenioPrieto
Hillaryorozco,JuanDiegoSoyYo
serradacons,SebasEA
setastellam,diegodelav1905
BibianaGomezC,ThaniaVegaCD
JanethGarciaC,garciacpaula
diegfuser,GustavoBolivar
JaviJimenezl,Vicme100
carolinaomodelo,MargaritaRepo
ClemenciaMara,JuanDiegoSoyYo
Conexion_SUR,Xlapaz_Colombia
joseburgosa,Arleth_Casado
gonyu19,NicOcampo20
gloriacucunuba1,mrafael70
KHOQUORUM,anasil33
astyoli,GustavoBolivar
qvelyu,idalmac46
LuzRoCorredor,andrelache
negro3777,danielosorio91
LuzRoCorredor,GustavoBolivar
f_rasse,piedadcordoba
UPPBogota,NotiBAdentro
CSaizar,JaimePolancoS
leandropolo477,ClaraLopezObre
jotaolmedo,JERobledo
MAVILLAMZAR,JaimePolancoS
Orlando26894520,ErikaSalamanca
victori18828980,Sica60
luchoalejotr,JorgeFlorezSi
luchoalejotr,JuanKarloslos
ronalddavid55,Davincho52
Nat_Chacon,JuanDiegoSoyYo
DDeColombia,jnn59
katearrietac05,alejaoficial
BlueDiem,EseMacias
RYaracuyano,piedadcordoba
luchoalejotr,UP_Colombia
Leia19ABY,mablanco60
AlejandraMop,GustavoBolivar
Ariasvilla,Brigittelgb
sophyeo19,ITAUGREMIAL
milciadesagui,AntonioSanguino
J_Penagos,JuanDiegoSoyYo
DRD0909,SalcedoRamos
mabobohorquez17,MOinternationa
silvamejia,adrianitaca
serradacons,jessiccaortega
AleAbuchaibe,MauricioCard
ALCALDIABARANOA,ALCALDIABARANOA
HelenUribista,BomberBelicosa
mesadhaburrasur,EugenioPrieto
Ander_socialist,JorgeFlorezSi
ColombiaMens,harley2528
Mariaca75212663,mylu49
lapanaya,GustavoBolivar
mesadhaburrasur,EugenioPrieto
aibexint,fibgar_
macarminya1,ierrejon
RamiroJuridico,juanmanuelgalan
miriomagdalena,ambienteysoc
ValeSerrato8,jepetru
diego_moriones,ErikaSalamanca
CardeWikmer,ThaniaVegaCD
valeriavlow,MartinSantosR
Cesdubu,martinhroman
ROBEGOPE,ALCALDIABARANOA
lilibriceno,pilarcalderonv
CuencaWilfrand,HoracioJSerpa
carfez10,BogotaVotaNO
cabralesatrid,ThaniaVegaCD
AnnaMassall,CamilaCorredor4
re_blen,elcarlosjuan
MadiBeau,AntanasMockus
Andreita_diazc,AlejandroFonte
DAVIDBOTINA4,Jorge_Opina
Emb_Venez_Ecu,piedadcordoba
victori18828980,MauricioGalin11
PoderPorLaNinez,MiguelUrban
jhonH400,AlejaTePaez
MaitaViviescas,xthehungerliars
herfrankR,MartinSantosR
MadiBeau,Jorgebta
EluinG,nohoratovar
pprezz99,KarolaEnriquez
Ander_socialist,CensatAguaViva
AymerPereira,SalcedoRamos
cucahernandez,tomkucharz
andresbarbosah,BastianSt
msn_uno,jairitoalvarez
caritomejia13,ALVAROHPRADA
alba_tv,piedadcordoba
JaviJimenezl,ghitis
victori18828980,Paticordoba
leandropolo477,SenorCaicedo
guaturia,NotiBAdentro
cabralesatrid,ThaniaVegaCD
IPoorPeople,olgaluroldan
Coroneltwitt,MartinSantosR
DanyValentina1,mamanomeleas
ipimientaab,GabrielaGechem
Maurosepu83,MajidaIssa1
epriani,JuanDiegoSoyYo
Cesdubu,adolfospina
MarycelMairena,_JorgeMunoz
PauAnaya_,treslunass
albertoluis79,BeatryObando
LauraalejaCR,Pipe_Granada
juanchoabogado9,MantillaQ
GuillaumeLong,piedadcordoba
dlnaranjo,NicolasGalindo_
Johana_Gon16,Fergicienta
DRD0909,ClaraLopezObre
doraisabelmont1,EugenioPrieto
flamarin629,jairitoalvarez
SoloManzanaa,Fergicienta
ogonzalezoscarg,fjaviermejia
valentinarinh,fjaviermejia
MariaSinGracia,ClaraLopezObre
PALaGranjita,CarlosCarrilloA
hey__eileen,JuanDiegoSoyYo
esyaesahora,AntonioSanguino
CristianLSD,EugenioPrieto
Soycentral4,iAlejandroCh
cataly51,ThaniaVegaCD
650viejowilli,GustavoBolivar
MAITO_MOLINA,mariaduf
MariaSinGracia,juanmanuelgalan
genepola,JuanDiegoSoyYo
ARGENISJROJAS,CamilaCorredor4
ADUANA_GUAMACHE,piedadcordoba
Shasilebi00,GabrielaGechem
xvselukx,MartinSantosR
AmelieSalgado,Ing_Henryco
andresbarbosah,EugenioPrieto
JaviJimenezl,nohoratovar
FRestrepoG,SalcedoRamos
victori18828980,MartinSantosR
Jan2509Janneth,Brigittelgb
guaturia,edisonburbanoCM
christiandfc,tabogo63
MantillaLen,JadrianaEsparza
kaloma13,GustavoBolivar
giosue56,Maaaabyyy
anarive11,GermanEspejo_
Edithparadac,piedadcordoba
guaturia,UP_Colombia
milciadesagui,monica_casas8
Cristiancbg,PoderCiudadanos
PhilippWodak,juanmanuelgalan
grojassa,TrinoYQue
ZenuRadio,ZenuRadio
AmparinRomero,Ing_Henryco
PabloEmilioJR,Recp_Sur
JAIDYTORRES1,BoyacaCristobal
oneida_patricia,Arleth_Casado
povied,jairitoalvarez
EstoEsDePedro,GuiliamVilasco
kerenvargs,JhoonnyOcampo
gloescar,mariod2118
pocholo693,UribeMiente
PhilippWodak,juanmanuelgalan
SusanaGarzon3,ThaniaVegaCD
KatheHernandz73,iAlejandroCh
krispyam,nathaliegcalle
mjsarmientoa,KarolaEnriquez
claudiagcbell,jairitoalvarez
PhilippWodak,juanmanuelgalan
Gladethc,ClaraLopezObre
MaiLirolPo,MaiLirolPo
MantillaLen,JadrianaEsparza
guaturia,pierrealee
verde_olivo,andressan
silvamejia,piedadcordoba
Mayebejarano1,HOLLMANMORRIS
defiendolomio,anasil33
marujita79,_JorgeMunoz
dayanapatriciav,BastianSt
luzacot,MCarolinaHoyosT
anviazca,MauricioCard
MENDEZMATUS,ismene2
guaturia,Recp_Sur
ENRE024,MartinSantosR
kgkarlogg180,GiordanoBrunoFi
pauanton21,ierrejon
Willydjls,GustavoBolivar
PIPEVCONCEJAL,MartinSantosR
karladenile,piedadcordoba
ursulam66,PAZSICOLOMBIA
_ZAYDA1_,subcantante
HectorFabioGa11,JadrianaEsparza
dptodelcesar1,somoscaribe_
AleAbuchaibe,JaimeCuartas
EmEcOA,martalorrantia
blancaoraa,Ainhat
LRobertoS,JERobledo
lauvalencia005,AnnieRamirezC
RuizVaalentina,mauriciohenao
somosjovenespro,NotiBAdentro
DanieeelaF,maobogo77a
JaviJimenezl,LuchyRamirez01
carlosmthardx,DoctorKrapula
itskevinstev,LinaRolong
pipemg8032,Marianiniecheve
COCAAY,MantillaQ
MarcoAnRodriGar,ThaniaVegaCD
_DianaSosa,Empleadas_hogar
LuisRamCt,SL_Gallagher1
CordobaTransit,MartinJalal
maurorrar,MartinSantosR
7stax_beats,AramBarra
gobnarino,camiloromero
alberto95302143,ThaniaVegaCD
faroukcaballero,Brigittelgb
Nathalie_285,JERobledo
JonathanRam1rez,MartinSantosR
Movicecol,marthaceballo13
MajoMoreno1997,JuanDiegoSoyYo
cabralesatrid,JavierEnBogota
FROILANZ,MartinSantosR
ximagaviria,sweetredbird
DarioCaldern,MiAng3l
RosiSerpa,HoracioJSerpa
Jonathanmh1412,ThaniaVegaCD
FROILANZ,MartinSantosR
leidypatricial1,natiibedoya
jolilovi25,MOinternationa
urquijo24,piedadcordoba
SEANDESA,DePacotilla
naticadelrio,SuangM
mvicenteriveros,jairitoalvarez
giraldo35,LinaRolong
TATO2839,soyjuanctorres
leidyfranco24,JavierEnBogota
Noaguanta01,FdoGomez1
a_rodriguezluna,AramBarra
cjota_florez,Paticordoba
MimeGalindo,charoguerra
ismene2,juangotango
Laura_2225,DonLuisEduardo
CarlosElFake,JuanDiegoSoyYo
Miche_Flow,AyaraCol
gchn11,MartinSantosR
Dreams_Fearless,demireflectixn
LanzMaica,rojasmejianata
Noaguanta01,jnn59
Korraleja,IROHN
NIETZSCHEANDRES,StibenDapper
marubuve,JavierEnBogota
fabiowakantanka,UP_Colombia
glomo88,rulitosok
jazmiortiz24,jmoe79
guaturia,mpantioquia
Dreams_Fearless,mamanomeleas
beltran__ma,LN_Mendoza
yaincruz,ThaniaVegaCD
AugustoColon95,Jorgebta
guaturia,marchapatriota
ValleVotaSi,miguelusuga
luzacot,sweetredbird
cobra8350,DonParamo
YEZEIMPARABLE,ONIC_Colombia
guaturia,CarlosCarrilloA
palmeida12,idalmac46
_Kilele_,IvanCepedaCast
carego88,AntanasMockus
germancardozoro,SalcedoRamos
yaincruz,ThaniaVegaCD
esnneyderm,foxforest13
giraldo35,itskevinstev
XimeGuacaneme,subcantante
Uber_Col,santipabon
JorgeEMoncadaA,OportoBuenaMar
FranciJoha,natiibedoya
oscar_libardo2,DonLuisEduardo
Hamilton1913,A1Estructuras
FabyCorvacho,AngieEspinosaA
AlanVivares,DonLuisEduardo
MariMapis00,subcantante
angelatorres28,martalorrantia
Hamilton1913,juanmanuelgalan
MariaSalleg,MauricioCard
_Kilele_,marchapatriota
Juan_alarcon8,GustavoBolivar
NicolasBeja,CamiSalamanca
MerchanZuleta,enREDo
pipemg8032,AUVNOESGRANCOL
JaviJimenezl,GermanEspejo_
ramon01235,pilarcalderonv
ContraGodarria,lavaldeguama
juancastilloma,EstebanJArcila
frgomezh,UP_Colombia
MMS48,piedadcordoba
Sebastiamos,camiloromero
RosanneRelight,marthaceballo13
DC4074,__NANCIOGALVAN
misabelv13,CamilaMariaBM
Uber_Col,Diegoelvale
negro3777,GermanEspejo_
tabogo63,DiegoTrujilloD
Caastellano,_JorgeMunoz
VanuM4,MartinSantosR
YoDefiendoLaETB,GustavoBolivar
Hamilton1913,EugenioPrieto
guaturia,ricubides
Hamilton1913,UP_Colombia
Dreams_Fearless,juanmanuelgalan
Barreja,NotiBAdentro
Hamilton1913,PorBolivarSi
MartinJalal,MartinJalal
EscalonaHictus,piedadcordoba
lacaucherazz,JadrianaEsparza
jairoangarita,taliatoro
arturoyule,GustavoBolivar
isabelatenea,Toxicomano
muyimpresionado,ThaniaVegaCD
Nicolas_Jim,UP_Colombia
ArangoFlo,ghitis
Sebastopol94,WilchesF
yaneth_casti,_JorgeMunoz
michelleharbz,womenslink
ivanmustafa,MauricioCard
Kaonesis,Toxicomano
Surikologa,Surikologa
SantiPinha,_milangel
pintora67,mamertoxdoquier
jocorrea5,AlejandroFonte
Hamilton1913,UP_Colombia
pablorobayov,ForerohElvira
JaviJimenezl,BomberBelicosa
ivansaa38816139,JuanPabloGallo
guaturia,marchapatriota
XimeGuacaneme,DoctorKrapula
ipaay__qyqy,AramBarra
Tesoro2510,PachoSantosC
Joremando,Teticaida
JayR_1392,mauriciohenao
Cbasramirez,dalejogamboa
VanessahYvonne,mauriciohenao
angelatorres28,sweetredbird
Hamilton1913,elrincondkarina
sramanecer,fjaviermejia
JaviJimenezl,olgaruiz1
pawjimenez,LuchyRamirez01
ArePaz_,hec_salaz
AmparinRomero,ThaniaVegaCD
Tesoro2510,PachoSantosC
Wandelcastillo0,elhermosexual
ArizaEspeca0515,MartinSantosR
Jesricardo07,ClaraLopezObre
LeonFDelCanto,CarlosCarrilloA
MauricioDuranF,lavaldeguama
Hamilton1913,_milangel
lilirabinovich,piedadcordoba
omarbula,GermanEspejo_
pcortesaau,martalorrantia
Oskar2396,mauriciohenao
EstoEsDePedro,futbolsinlimi
dlnaranjo,AndreaGuzmn
jorgito2786,PlataformaALTO
omarbula,JavierEnBogota
patinopacho,NotiBAdentro
Dreams_Fearless,HOLLMANMORRIS
Dreams_Fearless,HOLLMANMORRIS
Hamilton1913,PoderCiudadanos
omarbula,GermanEspejo_
pablorobayov,ernestomaciast
LeonFDelCanto,marchapatriota
omarbula,JavierEnBogota
Hamilton1913,anajsaavedra
Quovadis__,Juanita_Duque_R
Dreams_Fearless,jepetru
LuziaHands,piedadcordoba
Tesoro2510,PachoSantosC
Quovadis__,UP_Colombia
Dreams_Fearless,ImCrisM
RevistaHamartia,jmkarg
omarbula,GermanEspejo_
hectorhsl,AntonioSanguino
Carlos_Hoyos,juank1409
Arzola_d,ColombiaDiversa
Quovadis__,PorBolivarSi
jairoangarita,LeycyJaramillo
hectorhsl,angelamrobledo
metalma666mara,piedadcordoba
ValentinaVas816,JuanDiegoSoyYo
FifthHGrl,ClaraLopezObre
espitiamarti1,ThaniaVegaCD
AdriObweger,GermanEspejo_
kathycontenidos,anajsaavedra
jaln1984,andresguillen2_
JPArboledaG,JuanDiegoSoyYo
facundo_nah,jmkarg
SilvanaVelezA,jovenesporelSI
___Valentinee,subcantante
victori18828980,cesarfloreza
Frapolosi,lavaldeguama
pazdecolombiasi,nadiablel
TorreCavallaro,JERobledo
julietalugo48,UP_Colombia
marie6perez,ForerohElvira
andresfmacias,KarolaEnriquez
cecimiosotis,GermanEspejo_
alejamed2010,alejamed2010
Hamilton1913,comunacuerdo
GloriaYanetRA,Tatabachi
esalazar_y,WilchesF
Luigycenteotl,pazcompleta
carolpb2003,MargaritaRepo
EdwinCastroP,ManducoCol
Tearlach_,JuanDiegoSoyYo
Luigycenteotl,todoalnatural
javi_quique_OK,AlejandraPeM
JuanGomez_DC,aazuleta
MonicaAlvarezLi,Juansoloescribe
Isabellacch,ColombiaDiversa
WiLLkiNg30,StefaVasquez
albeironaranjo,Toxicomano
alesquinto,JavierEnBogota
GRdeS,juanposada75
740Rebelde,piedadcordoba
IreneKilburn,MartinSantosR
javi_quique_OK,altereddie
FabioReyesMart2,MartinSantosR
usphoenix82,jairitoalvarez
fraseintelecto,plataskar
Tefa_,UP_Colombia
jeanmarra,JadrianaEsparza
DanieeelaF,garciacpaula
alesquinto,JavierEnBogota
Vonchibula,diegobautista10
_Breakthru,sweetredbird
Andreita_diazc,GustavoBolivar
Quovadis__,adrianitaca
Numa_Andres,aldoraine1946
TsukiFara,SalcedoRamos
JaimeteleSUR,piedadcordoba
Andreita_diazc,GustavoBolivar
javi_quique_OK,UP_Colombia
liliana42968940,JavierEnBogota
prensabenavides,esterhernandezc
Yurasim_park,Dianav94
Huetar,CamilaCorredor4
FernandezMJP,betosantana9
angelatorres28,SalcedoRamos
WLacera,todoalnatural
Hamilton1913,LidiaMendivelso
felipejeldres,reinaldoflores
jurumo,ThaniaVegaCD
NicolaasMolina,todoalnatural
shopenauerwho,GermanEspejo_
jfabogado,Toxicomano
gloescar,ismene2
Dariozic,JuanDiegoSoyYo
natlopz,mauriciohenao
javi_quique_OK,UP_Colombia
juanchoabogado9,federicogomezla
guaturia,carlospardo91
roesca29,monica_casas8
RosanaHc,SalcedoRamos
BalajLeon,plataskar
vivianap_1,PlataformaALTO
Luigycenteotl,coeuropa
Cabildo_Digital,conilinwynter
jcarlos_mur,ierrejon
Nataliaronq,Toxicomano
manuelfvargas,subcantante
ygRamirez1,JuanDiegoSoyYo
johannsv,JadrianaEsparza
ClariMoralesR,Brigittelgb
andavila197926,adrianitaca
nayalagu,Team_AntiRojos
ladyalrjandra3,Toxicomano
alberto95302143,ThaniaVegaCD
sxbri10,CockyColombians
suramericano1,MantillaQ
ESTEBANHOYOS1,Ing_Henryco
nicolasalba20,EugenioPrieto
vjcoguan,Toxicomano
MTMPLOVE,Teticaida
RosanaHc,Juansoloescribe
yolo6,UP_Colombia
EnlaceClave,PorBolivarSi
Irenedebate,Yudyruizolarte
suramericano1,HOLLMANMORRIS
estraval,Karenlpzo
Juan_alarcon8,Jorgebta
RosanaHc,SoyLaIndolente
suramericano1,GiordanoBrunoFi
liapedraza,GermanEspejo_
barrera_luisa,adrianitaca
DanteStereo,Toxicomano
sonialejandra11,mamanomeleas
rd_bui,AlejandraPeM
wily__29,GustavoBolivar
LuziaHands,todoalnatural
dizquemorticia,subcantante
geovyleon,GermanicoPinto
cherikxlife,MartinSantosR
guaitabar,JavierEnBogota
kelytatiana,martalorrantia
LodoWebCol,MargaritaRepo
Vsg_Marea,AsuntosAP
sebastianlperez,MartinSantosR
LodoWebCol,MOinternationa
ClaudiaEsguerr1,MarianaSarastiM
JuliRussi,GustavoBolivar
CamiloPerdomoA,JERobledo
tabogo63,UP_Colombia
levantateCagonq,ClaraLopezObre
LodoWebCol,PaulinaLaponte
jairobayona3,jairobayona3
JuanCSanabria09,JERobledo
Luz_muno,_JorgeMunoz
EnlaceClave,Karenjnr
menriquehdezvas,GiordanoBrunoFi
LodoWebCol,ThaniaVegaCD
DanieeelaF,Jorgebta
javi_quique_OK,UP_Colombia
guaitabar,JavierEnBogota
Don_Carrettero,sr_empanada
florencebaillon,piedadcordoba
CarrillonavasG,tutuarenas
tabogo63,UP_Colombia
lazarogome08,conilinwynter
06_Romero15,GustavoBolivar
funurbiano,MartinSantosR
EscofetAlbert,esgomor
paraguanarebel,nohoratovar
EI_Comodoro,__NANCIOGALVAN
osilvab,RolaEnElDC
Chrispipe16,UP_Colombia
Jupalme,gamarracandanga
Chiobtos,JavierEnBogota
podem_cat,TaniaGonzalezPs
DubanVelezM1,luzmamunera
alesquinto,JavierEnBogota
PremiosCarrona,GustavoBolivar
ange_laso,UP_Colombia
linulera,conilinwynter
CoordNalCacao_P,AndeanCosmology
Laura_rpo,EugenioPrieto
Nathalie_285,luzmamunera
DaniielaSaavedr,subcantante
DesaparecidoCol,JennyferCohen
jcm003,Diegoelvale
pintora67,Berkeliana
diebera,mamertoxdoquier
camilareyes101,_Miguel_Lozano
DesaparecidoCol,marthaceballo13
tatianajones03,_SilviaRo_
Macares41,Cafsaavedra
Jona_law,SalcedoRamos
pazdecolombiasi,AnayamisR
LoreSalazarG,subcantante
DesaparecidoCol,LeandroRangelCo
Sebas9_Pardo,ClaudiaLopez
jovenesporelSI,carleche
JFBGomez14,jsebasmusic
asdfg_o,jrodrigoco
whatever2795,PaulinaLaponte
pablitokato,jsebasmusic
LaCura_,UP_Colombia
elevatemaricon,jsebasmusic
diegoale2012,__NANCIOGALVAN
lacuerpi,carlosjaimebh
Recucho,juanposada75
DENIS_BERON,piedadcordoba
maurocorrea1,Gabocolombia76
nenoriega5,saguzchiquis
Ballesteros0115,FredyAnayaMar
AnaMariaMojica,PaulinaLaponte
erikanovoa0,jepetru
javi_quique_OK,ClaraLopezObre
Julmirand,LuchoJacobsen
LoreSalazarG,jsebasmusic
CesarParraCelis,MauricioCard
johannsv,MargaritaRepo
Angel_ita_Cal,GustavoBolivar
Nicolas_Ardila,womenslink
julioc_guillen,GermanEspejo_
mariao1809,Surikologa
RiYanelis,TrinoYQue
liliana_cal,Toxicomano
Ballesteros0115,FredyAnayaMar
CarlosADeArmas,ThaniaVegaCD
LuisDiazAriza,_SilviaRo_
Nathalipv,ClaudiaLopez
Gloria_kintero,Erinatas
bennywargolf,MariaJoUribe
MOinternationa,VirguezEli20
ValeriaBera,raizaquiroz
ngelDamin2,tutuarenas
tabogo63,pierrealee
mniebles,GermanEspejo_
Passofinno,JavierEnBogota
Lombo_Smile,subcantante
Jimmyg25,gisselleapa
RinconCannabis,FREYAMODEL
luciamar0210,jsebasmusic
javierhesu,mamanomeleas
FernandezMJP,KarolaEnriquez
bustosroldan,GustavoBolivar
Recucho,JavierEnBogota
DRD0909,SoyLaIndolente
erikanovoa0,JuanOspinaV
jovamaju,politicadiestra
Isamejiag,Catmausan
erikanovoa0,IanSchnaida
jeanmarra,ernestomaciast
ngelDamin2,JavierEnBogota
CristoAtado,Karogomez_
MariaSinGracia,UP_Colombia
marthamarcega,womenslink
pazdecolombiasi,Eliofriend80
lmoahumada,jsebasmusic
cachi_fo,nichin2701
StevenPosadaQ,AABenedetti
DrJairbermudez,ceroblespa
rmaza1304,diegogzo
Lawrencedeara,Karogomez_
ivansalgon,jmkarg
lamarypopp,BottaAdv
Gloria_kintero,DanielQuiroga
Passofinno,JavierEnBogota
andrewholes,MCarolinaHoyosT
KarolaEnriquez,KarolaEnriquez
ColombiaMuisca,edisonburbanoCM
Gerardo_Espino,AramBarra
LaChicaDeHenao,mauriciohenao
alonsojedavalde,luisfebarrera
AguirConstanza,luisfebarrera
CALIDICESI,luisfebarrera
arguelloval23,luisfebarrera
aristijulius,luisfebarrera
benilmicolta,luisfebarrera
anaisvillasaa,luisfebarrera
augustovalen9,luisfebarrera
camivergar,luisfebarrera
chalarcas,luisfebarrera
charlesgbustos,luisfebarrera
dignidadcali,luisfebarrera
elindaayl,luisfebarrera
carlosbarrera00,luisfebarrera
elnuevogil,luisfebarrera
felrivasio,luisfebarrera
esperanzabalant,luisfebarrera
duranarva,luisfebarrera
fajardocolmaria,luisfebarrera
estevanalvarico,luisfebarrera
ganandolapaz,luisfebarrera
hachapolitica,luisfebarrera
gildardoheins,luisfebarrera
gatomuerto3,luisfebarrera
GracianNicolas,luisfebarrera
florarturo1,luisfebarrera
michellettocore,luisfebarrera
vladolucuara,luisfebarrera
santiagoacosrt,luisfebarrera
victorywsanchez,luisfebarrera
LocoCostal,luisfebarrera
Julieta_Roa94,luisfebarrera
uribesara203,luisfebarrera
luzmejiaco23,luisfebarrera
hermencillacol,luisfebarrera
salgadocuella,luisfebarrera
montanoemico,luisfebarrera
negramentacol,luisfebarrera
loyoladanicol,luisfebarrera
tatacol234,luisfebarrera
julieta_worge,luisfebarrera
mellaracu,luisfebarrera
lilipuyo,luisfebarrera
horaciogaseoso,luisfebarrera
pedrosanchezrt,luisfebarrera
NatyMurcia508,EugenioPrieto
Yeralopz_,GustavoBolivar
NormaSexologia,nadimcomics
victori18828980,Paticordoba
PublimetroCol,Esperanza_Arias
villarrealjavi,PorBolivarSi
NatyMurcia508,DoctorKrapula
MARINA0404,MCarolinaHoyosT
danihriverac,Brigittelgb
AymerPereira,Karogomez_
FANS1PIEDRAHITA,altereddie
NatyMurcia508,jsebasmusic
serrano_alfonso,VirguezEli20
PaoPaz_,GabyRiaoG
_BarbaraBlade,Karogomez_
PerfoscOspina,ONIC_Colombia
FelipeSantos810,luisfebarrera
jprado1969,MartinSantosR
PedroOquero,JadrianaEsparza
pabloov_,Karogomez_
NatyMurcia508,luisfelipehenao
Vargas_Andres18,rjvillaparedes
NotiziedalM5S,LiberoPens
Leonard88504526,camiloaortizt
sosbestrizquit1,JavierEnBogota
patroclo1970,ernestomaciast
Coraaaline_,Karogomez_
Nat_Chacon,UP_Colombia
Uber_Col,jesudte
juanchoabogado9,JorgeFlorezSi
ximagaviria,conrado_uribe
dlnaranjo,PachoSantosC
castul56,conilinwynter
MONYDIAADIA,Karogomez_
NatyMurcia508,HOLLMANMORRIS
Marianiniecheve,Marianiniecheve
sneider_cordoba,Karogomez_
PrensaRural,pazcompleta
alejamed2010,MCarolinaHoyosT
DeSade__,Karogomez_
gacaq,GustavoBolivar
EmbacubaP,UP_Colombia
Dianapem1,MCarolinaHoyosT
VanessaPorrasV,GustavoBolivar
juanchoabogado9,bullerenguezxtt
FaluaRo,ierrejon
Javserna,StefaVasquez
DoctsNvaEsparta,Pura_Miel
ConyQfive,jsebasmusic
malucfbilbao,alternatiba
Alelozanov,MCarolinaHoyosT
LuisitaB,Mike_Yepes
William_Luengas,Cristian_Ruiz_L
Andresfilipe19,jsebasmusic
colectivoguaji1,AntanasMockus
javi_quique_OK,maoetb
klaudiaangel201,natiibedoya
RadioMalaky339,UP_Colombia
kysytmrhs,PlataformaALTO
cecimiosotis,GermanEspejo_
AFelipe12,mauriciohenao
mujeresdenegro,ghitis
DiazDiegoAA,piedadcordoba
lizethmoreno_13,SiendoKam
luzacot,jsebasmusic
DanielTamara14,UP_Colombia
CesarJerezM,UP_Colombia
cobra8350,jrodrigoco
cachi_fo,TataMejiaG
KiaraJabib,UP_Colombia
OctavioLopezSie,moi7nieto
DagrakaUchiha,Karogomez_
DazaIrreno,SIMUNOZV
cachi_fo,TataMejiaG
FedericoRes,adrigonzapa
SemillAmarillaa,GustavoBolivar
cachi_fo,TataMejiaG
melissaeljach,MartinSantosR
checonguero,Marianiniecheve
JoseBlas04,angelamrobledo
camachito07,AntonioSanguino
HECTORfelino,subcantante
Davidfg13,ierrejon
martisabelita,UP_Colombia
rmaza1304,Karogomez_
Geeral26,Karogomez_
erika_pineros,cubanahumana
hellomafex3,mauriciohenao
checonguero,MartinSantosR
nichin2701,BogotaVotaNO
_Corchuelo,MCarolinaHoyosT
AnaCGuatame,mujertejedora
BanksSinatra,mauriciohenao
DazaIrreno,FabianOviedoP
Tefa_,UP_Colombia
franko0_67,piedadcordoba
judyt09,jambienteboyaca
marcodelenguaje,SirDerigo
ALJEEZW,StefaVasquez
repulibre,ierrejon
franciscofeble2,rojasmejianata
Diego_norrea,Karogomez_
Aeglos1936,Toxicomano
pocholo693,Karogomez_
AidaCantilo,Kirsty_Brimelow
checonguero,SCarrascalP
cristin25923559,florezspatricia
LuisOrlandoS,cronopioinmind
salazarcala,ClaudiaLopez
OctavioLopezSie,camiloromero
EnlaceClave,HolaYoSISoyDany
ServioTulioDiaz,GustavoBolivar
Girondo,LuisOrlandoS
ginitati,KaremVip
PuenteCelsa,jepetru
JuliVargasVidal,JennerGuzman
